TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;3,17;;-0,35;-1,91;0,27;20,76;-90,34;-118,94;-0,46;-0,81;-0,34;0,34;0,42;-0,38;-0,38;0,28;-544,08;-77,21;-547,76;-0,14;1,14;0,65;4,43;;178.869,95;-1,66;-9,01;0,00;487.550.342,40
ABCB4;23,32;11,57;5,96;0,84;0,09;17,07;15,46;12,60;4,86;4,89;;;0,75;-1,90;-0,09;0,19;14,05;1,50;;0,11;0,89;0,12;28,96;24,52;10.583.089,00;27,85;3,91;1,11;6.118.913.381,88
ABEV3;14,99;7,86;14,55;2,68;1,71;51,90;27,34;18,41;9,80;9,19;-0,64;-0,17;2,68;277,30;-2,42;1,02;18,40;11,76;21,55;0,64;0,36;0,64;8,61;7,38;457.789.910,00;5,60;1,03;1,44;237.243.156.579,45
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,28;;-0,15;-0,17;0,09;-6,13;-83,80;-147,32;-0,26;-3,73;-3,47;;0,22;-0,78;-0,13;0,69;-112,94;-62,35;-66,14;-0,55;1,55;0,42;-19,51;;61.995,76;-13,47;-15,21;0,03;142.876.450,80
AESB3;8,12;;-21,02;1,83;0,42;27,29;23,39;-9,44;8,48;18,40;9,93;2,15;1,98;-11,75;-0,49;0,79;-8,72;-2,02;4,23;0,23;0,71;0,21;;;13.684.494,00;4,43;-0,39;2,77;8.367.914.180,36
AFLT3;7,13;7,29;12,61;1,85;1,22;79,20;69,95;55,98;10,10;9,45;-0,64;-0,12;7,06;7,19;-1,93;1,85;14,63;9,66;13,09;0,66;0,34;0,17;6,47;13,77;5.123,67;3,86;0,57;0,35;449.793.911,00
AGRO3;18,28;4,12;-126,95;0,92;0,49;12,72;-1,76;-1,54;-111,27;-191,78;-80,02;0,66;1,96;4,86;-0,72;1,47;-0,72;-0,39;-3,64;0,53;0,47;0,25;10,70;;1.803.414,14;19,88;-0,14;1,21;1.885.268.031,84
AGXY3;1,62;;0,03;-0,17;0,01;-1,14;39,74;70,06;0,04;1,41;1,36;;0,02;0,06;-0,02;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;46.568,14;-9,78;64,68;0,00;30.920.400,73
AHEB3;23,89;;4,12;0,70;0,34;18,50;10,33;8,96;3,57;2,20;-1,44;-0,28;0,37;1,34;-0,60;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;3.058,70;34,23;5,80;-0,07;208.345.116,53
AHEB5;58,00;;10,00;1,69;0,83;18,50;10,33;8,96;8,67;2,20;-1,44;-0,28;0,90;3,25;-1,45;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,18;208.345.116,53
AHEB6;55,00;;9,49;1,61;0,78;18,50;10,33;8,96;8,23;2,20;-1,44;-0,28;0,85;3,08;-1,38;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,17;208.345.116,53
ALLD3;4,51;25,69;1,26;0,28;0,13;11,75;9,41;6,26;0,84;1,11;0,26;0,09;0,08;0,42;-0,46;1,74;22,27;10,10;18,12;0,45;0,55;1,61;3,11;15,35;1.175.448,95;16,02;3,57;0,01;435.665.373,44
ALOS3;26,28;11,17;14,19;1,03;0,52;72,95;52,17;32,26;8,78;6,72;-2,12;-0,25;4,58;4,65;-0,61;3,56;7,27;3,64;9,63;0,50;0,50;0,11;29,09;40,77;94.481.723,57;25,49;1,85;0,53;13.356.018.186,03
